Group  Order,Data Group,Data Point,Item Order,Source,Persona,Description,Auto vs Manual,Difficulty,Notes
7,Common Ground,Similar Investments,5,"Manual,Crunchbase",Investor,A list of startups (or funds) who the target has invested in which are similar,,,
7,Common Ground,List of Shared LinkedIn Connections Invested,6,Crunchbase,Founder,A list of people who the bio recipient has invested in (i.e. were founders at previously invested companies) who are LinkedIn connections of target,,,
7,Common Ground,LinkedIn Connections at Same Company,7,LinkedIn,General,Bio recipient’s LinkedIn connections who work at same company as target,,,
7,Common Ground,Shared LinkedIn Connections (10),8,Crunchbase,General,"Ideally list people with most overlapping connections, not sure if possible",,,
7,Common Ground,Common Ground Notes,99,Manual,General,"Text the EA can add about similarities (e.g. like a simliar sports team, have a similar hobby, etc)",,,
8,Investor,Fund AUM,1,"Manual,Crunchbase",Investor,"For VCs, family offices, etc; sum of all funds raised in Crunchbase (or find announcement in recent news)",,,
8,Investor,Last 5 Investment Rounds Participated,2,Crunchbase,Investor,"Last 5 rounds invested in by target (i.e. company, date, investment size, investment round name)",,,
9,Company,Company Name,1,,,,,,
9,Company,Company Blurb,2,Crunchbase,General,,,,
9,Company,Company Twitter URL,3,Rows API (with manual check),General,Formatted as link,,,
9,Company,Company Twitter Bio,4,Twitter,General,,,,
9,Company,Similar Customers,11,Manual,Customer,A list of companies who are current customers who are similar in industry/size to the target customer’s company,,,
9,Company,Tech Stack,12,"Rows, BuiltWith",Customer,Products and services used by the target customer’s company,,,
9,"News & Activity,Company",5 Recent Articles about Company,98,"Crunchbase, News API",General,,,,
9,"Company,News & Activity",Company Last 5 Tweets,99,Twitter,General,,,,
10,"Twitter,Details",Twitter Name,1,Twitter,General,,,,
10,"Twitter,Details",Twitter Active Y/N?,2,Twitter,General,"If > 10 Tweets in last month, “Y”, if not, “N”",,,
10,"Twitter,Details",Twitter Verified Y/N?,3,Twitter,General,,,,
10,"Twitter,Details",Twitter Follower Count,4,Twitter,General,,,,
13,"History,Work","Current Company Role & Years ",1,LinkedIn,General,,,,
13,"History,Work",Previous Company Role & Years,2,LinkedIn,General,,,,
13,"History,Work","Other Companies Worked at, Roles, and Years",3,LinkedIn,General,E.g. Airbnb 2011-2017 (Product Manager),,,
14,"History,Education",Graduate Degree School Name,1,LinkedIn,General,,,,
14,"History,Education",Graduate Degree Graduation Year,2,LinkedIn,General,,,,
14,"History,Education",Graduate Degree Area of Study,3,LinkedIn,General,,,,
14,"History,Education",Undergraduate Degree School Name,4,LinkedIn,General,,,,
14,"History,Education",Undergraduate Degree Graduation Year,5,LinkedIn,General,,,,
14,"History,Education",Undergraduate Degree Area of Study,6,LinkedIn,General,,,,
14,"History,Education",High School Name,7,LinkedIn,General,,,,
14,"History,Education",High School Location,8,LinkedIn,General,,,,
14,"History,Education",High School Graduation Year,9,LinkedIn,General,,,,
16,"News & Activity,Personal",Most Recent Newsletter Article URL,1,Rows API (with manual check),General,May exclude from V1,,,
16,"News & Activity,Personal",Most Recent Podcast Episode URL,2,Rows API (with manual check),General,May exclude from V1,,,
17,News & Activity,5 Recent Tweets,1,Twitter,General,,,,
17,News & Activity,LinkedIn 3 Recent Posts,2,LinkedIn,General,"List title, snippet, and URL",,,
99,Other,Notes,,Manual,General,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
